,hyperparam,Fold,Valid_AUC,Valid_Precision,Valid_Recall,Valid_F1,Test_AUC,Test_Precision,Test_Recall,Test_F1
0,lr:0.0001 / num_fc:32,0,0.9556451612903226,0.9090909090909091,0.967741935483871,0.9374999999999999,0.967741935483871,0.9393939393939394,1.0,0.96875
1,lr:0.0001 / num_fc:32,1,0.9818548387096775,0.9375,0.967741935483871,0.9523809523809523,0.8911290322580645,0.9615384615384616,0.8064516129032258,0.8771929824561403
2,lr:0.0001 / num_fc:32,2,0.967741935483871,0.9393939393939394,1.0,0.96875,0.939516129032258,0.9354838709677419,0.9354838709677419,0.9354838709677419
3,lr:0.0001 / num_fc:32,3,0.9637096774193549,0.9117647058823529,1.0,0.9538461538461539,1.0,1.0,1.0,1.0
4,lr:0.0001 / num_fc:32,4,0.9576612903225806,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.9596774193548387,1.0,0.9032258064516129,0.9491525423728813
5,lr:0.0001 / num_fc:32,5,0.969758064516129,1.0,0.9032258064516129,0.9491525423728813,1.0,1.0,1.0,1.0
6,lr:0.0001 / num_fc:32,6,0.9778225806451613,0.9090909090909091,0.967741935483871,0.9374999999999999,0.9959677419354839,0.96875,1.0,0.9841269841269841
7,lr:0.0001 / num_fc:32,7,0.9879032258064516,1.0,0.9354838709677419,0.9666666666666666,0.978494623655914,0.967741935483871,0.967741935483871,0.967741935483871
8,lr:0.0001 / num_fc:32,8,1.0,1.0,1.0,1.0,0.9935483870967743,0.9393939393939394,1.0,0.96875
9,lr:0.0001 / num_fc:32,9,0.9778225806451613,0.9375,0.967741935483871,0.9523809523809523,0.9913978494623656,0.967741935483871,0.967741935483871,0.967741935483871
